essays_id,essay_set,essay,rater1_domain1,rater2_domain1,domain1_score,word_count,reading_ease,nouns,verb,adjectives,adverbs,jaccard
11827,5,In memoir Narciso Rodriguez PERSON life mood containing greatful showed parents gave love whole life Both parents born raised Cuba moved United States Starting lives taking job could find Then PERSON CAPS born Both Parents raised love care introducing Cuban background life As PERSON telling story readers could tell greatful family like Also shared non blood related family remembrence parents life changed moving LOCATION showed respect towards,2,2,2,67,65,31,18,8,3,0.45
11828,5,Throughout excerpt Home Blueprints Our Lives Narciso Rodriguez author manages maintain single overall mood In many parts story tells much loved childhood lead think nostalgia nowhere emphasize yearns return past times He always declared loving selfless family aided others became family neighbors Due I found tone loving admiring towards parents This due fact states parents brave leave lives Cuba behind could better life Narciso Rodriguez also remarks numerous times parents helped many need If Rodriguez position I would love admire parents much selfless deeds upbringing son,2,2,2,86,70,35,22,14,6,0.41
11829,5,The mood author created memoir love author finds family blood related In author neighborhood despite customs elsewhere cultures came together solidarity friendship NUM The author loves thier parents came many immagrants give children better life NUM The author greatful parents Mother father come country courage without knowledge language culture NUM The author parents gave great life moving LOCATION turned simple house NUM,3,3,3,62,65,29,11,9,3,0.4
11830,5,The mood created author showing cuban lived Their cultra lived people cultra could diffrent CAPS cared cultra people care cultra like narciso parents author trying say people respect cultra CAPS To different cultra,1,0,1,33,20,11,10,6,0,0.27
11831,5,The mood created memoir happiness gratitude Narciso grateful parents moving LOCATION still give warm happy feeling house Cuba His parents passed culture happy Narciso glad lived home opertunities child He grateful family always got together feast cuban music activities food His parents gave jobs Start lives entirely Narciso also grateful learned real definition family He also grateful parents love sacrifice,2,3,3,60,70,23,13,13,6,0.35
11832,5,The mood definitely helps feel comprehend story better The mood mixture happy sad way author states ideas For example sentence I never forget parents turned simple house home makes feel sad grew everything memories keeps happy memories Most ideas like I grateful parents love sacrifice also carry reasons happy sad However statements like My mother father came country courage without knowledge language culture makes feel happy parents determind Overall main idea remembering good bad times life mood idea happy sad,2,3,3,80,60,39,14,15,5,0.36
11833,5,In Narciso Rodriguez memoir Home The Blueprints Our Lives incorporated love passion mood You tell fondly strongly Narciso talks things Here innocence childhood congregation family friends endless celebrations encompassed formed backdrop life warm houses In one sentence alone could feel Narciso passion love home Narciso puts great deal love thankfulness paragraph NUM NUM talking parents It I learned real definition family I never forget parents turned simple house home These two sentences likely strongest Narciso memoir two also ones filled passion meaning As see Narciso Rodriguez memoir Home The Blueprints Our Lives mood Narciso puts love passion,3,3,3,97,60,44,16,13,8,0.46
11834,5,In excerpt mood created author love Love family love The author talks parents loving respectful way I never forget parents turned simple house home The author discribes parents went make life better In turned apartment place love caring never forget importantly passed love onto The author also talks family love shared My parents always kept arms door open many people considered family The author family completely blood related Many people friends close friends hav become like family always welcomed Finally author talks community In neighborhood despite customs elsewhere cultures came together great solidarity friendship No matter nationality comunity close together understanding It basic principles friendship trust love caring passed onto author excerpt varity people give excerpt mood love,4,4,4,118,60,48,27,15,14,0.36
11835,5,The mood created author memoir grateful fortunate Narciso Rodriguez talks fortunate parents heritage Cuban From paragraph NUM I always grateful parents love sacrifice CAPS saying CAPS happy lucky parents parents main mood memoir Another mood created Narciso Rodriguez memoir happiness CAPS makes story happy saying great grow family CAPS also says family lot people neighborhood well CAPS happy great family From paragraph NUM Here innocence childhood congregation family friends endless celebrations encompassed formed backdrop life warm home CAPS two moods created Rodriguez memoir,3,3,3,83,35,44,13,15,6,0.42
11836,5,The author generally stayed one mood The mood portrayed story family friends important help future This author stressed thankful family come LOCATION make better life friends came share culture Also author saying even LOCATION important remember cuban blood culture This says love cooking still today I eternally grateful Passionate cuban music I adore day filled air mixing aromas kitchen Also author say home geat memeries grow never forget,3,3,3,68,75,29,20,7,7,0.4
11837,5,The mood author creates story CAPS sad mood But also CAPS CAPS guy getting new Home new Life CAPS His parents CAPS CAPS,1,1,1,23,55,10,6,3,1,0.38
11838,5,The mood memoir author creates warm relaxed sort mood The way author tells parents selflessness way put kids first really makes think parents good would The way author talks home makes think colors house I think house would golden red color yellow white brown orange insides It reminds way would cooked They would cooked colorful peppers onions tortillas oils It makes think colors home would cook The music sounds wonderful Even though demonstrate actually sounds like easily imagine I imagine laying background adults cooking kids playing colorful rooms golden sunlight shining open window I love mood memoir puts,1,1,1,98,85,39,23,15,5,0.3
11839,5,The mood memoir upbeat happy mood PERSON Grew Newark New Jersey Cuban family tells story Narciso went childhood This memoir really emphasizes connection love Narciso parents home It kind makes think house walls ceiling maybe part family,1,1,1,37,75,20,7,5,2,0.41
11840,5,Describe mood author memoir mood athor memoir Is hard time grow parent keep movieing bay age twent seven year old Narciso Rodriguez liveing family live one apratment room When growing racism growing When growing mother father taught cook number one thing learned love one,1,0,1,44,80,21,10,4,2,0.29
11841,5,The mood created author memoir happy enjoyable worth living I say happy family friends help anything I say enjoyable author talks main character first birthday first friend I would enjoy birthdays I person also first friend I also said worth living food table everyday And nothing memoir said anything struggling This I explain mood happy enjoyable worth living,2,1,2,58,70,27,11,13,3,0.32
11842,5,The mood created author memoir loving caring friends family everyone around example says mom would always keep door open whoever going rough time untill back feet knew would family Also mood thankful since Narciso admires everything done life helped thankful friends care family thanks every oppertunity gets life The mood also shows somthing small turn big inside Narciso done much small place lives,2,2,2,63,45,25,14,9,7,0.3
11843,5,In memoir author creates mood The mood love The author loves parents things sacraficed come LOCATION He really appreciates everything done really grateful The author describes warmth kitchen How filled love culture The great aroma parents cooking music culture loves The author also describes family CAPS close friends The love got The memoir says My parents always kept arms door open many people consider family knowing would us CAPS considered people really family Family They helped family friends creates mood love CAPS memoir author creates mood LOVE,4,3,4,87,70,35,24,8,6,0.44
11844,5,The author memoir created mood family They came selflessly many immigrants give children better life even though meant leaving behind families friends careers country loved quote tells mood created author makes reader realize hard pareents work give children better life education It I learned real definition family also makes reader feel like lot family MONTH seem That family gives one life teaches love I never forget parents turned simple house home quote tells home place one MONTH live relationships created These moods created author memoir,3,3,3,85,30,42,20,7,6,0.38
11845,5,The mood created author clearly greatfull The author shows narciso could never stop saying thank He honestly loved feeling mom dad made thengs By parents moving place call home Narciso made mood forever endlessly greatful By Narciso mood greatful I mean endlessly thankful thanks parents In short autobiography Narciso creats reader feel know happy life As short story creats mood greatful You understand feels read many times article I always greatfull parents,1,2,2,72,70,27,15,13,7,0.36
11846,5,The mood set author memoir home home kind mood like great family great friendships relationships open arms kind feeling He mentions fact parents always helped friends family need selfless towards people He talks family used come together meals family He says grateful spirit generosity given parents young age He gives reader sence comfort generosity thanks family deeply expressing spirit generosity selflessnes people,2,2,2,62,65,35,11,7,3,0.31
