essays_id,essay_set,essay,rater1_domain1,rater2_domain1,domain1_score,word_count,reading_ease,nouns,verb,adjectives,adverbs,jaccard
15954,6,On December man named Al Smith announced building world tallest building feet This building Empire state building New York would used dirigible mooring But would obstacles face would cause dirigible mooring successfully used Al Smith announced building mooring mast announce potential obstacles builders Empire State Building would face trying allow dirigibles dock One largest obstacles would wind factor causing dirigible back end sway Another issue would foreign dirigibles full flammable gases moored close densely populated area Also dirigibles could moored constructors spend extra time money make building much sturdy hold dirigibles,2,2,2,91,40,38,22,15,4,0.26
15955,6,There many obstacles builders Empire State building faced attempting allow dirigibles dock One architects drop mooring mast top Empire State building flat roof The thousand foot dirigible moored top building held single cable tether would add stress building frame The second problem stress dirigible load wind pressure would transmitted way buildings foundation The third problem steel frame Empire State Building would modified strengthened accommodate new situation It sixty thousand dollars worth make buildings framework But unfortunately problems unsolved height made desirable postpon later date instead becoming transportation future given away airplanes,3,2,3,91,55,38,19,18,6,0.16
15956,6,When architects first looked creating safe landing zone dirigibles looked several key factors The Empire State building NUM feet tall heights winds become powerful would blow diridible place This proved paragraph NUM The Goodyear blimp called Columbia attempted reach mooring mast although skillful pilot could get Steel framed balloon close enough dock Spire Another factor architects weigh equation diridibles filled hydrogen flammable If zeppelin catch Fire would massive ball fire coming streets downtown New York The Hindenburg gave us example needed see change mind wanting massive flammable balloon hoovering streets New York City,2,3,3,93,70,37,20,19,2,0.4
15957,6,Based excerpt obstacles builders Empire State Building faced attempting allow dirigibles dock One reason dirigibles outside United States used hydrogen rather helium hydrogen highly flammable The owners Empire State building realized dirigible destroyed fire density populated area like New York could huge acadent One greatest obstacles however nature The winds top building constantly shifting due violent air currents Even dirigible tethered mooring mast back ship would swivel around around mooring mast When dirigibles would try dock sometimes could even get close building strong winds By dirigibles hanging pedestrians streets New York considered unpractical unsafe Due mother nature safety reasons builders Empire State building faced problems allowing dirigibles dock,4,3,3,108,45,42,24,19,9,0.27
15958,6,In paragraph said New York City lack suitable Landing space Another obstanke paragraph NUM Nature self winds push dirigible around back The obstakle paragraph NUM existing law airships flying low urban areas These problem Empire builders faced,2,2,2,37,65,19,5,7,1,0.37
15959,6,The builders engineers involved allowing The Empire State Building dock dirigibles mooring mast around one thousand two hundred fifty feet air faced many obstacles In excerpt The Mooring Mast ORGANIZATION taken The Empire State Building reader taken journey allowing dirigibles blimps refuel transport passengers atop Empire State Building This easy task fact never achieved Some reasons building The mooring mast top building height weight wind pressure building dangerous In paragraph nine stated Over sixty thousand dollars worth modifications made building framework But even building location Empire State Building densely populated downtown New York created major obstacles First international blimps used Hydrogen rather helium highly Flammable A fire explosion location mooring mast located would devastating city Secondly shifting winds due violent air currents atop building They caused backend dirigible swerve Weights could used blimp though people height everything took place Finally laws place airships flying low urban areas So essentially objective project could reached ed unless legislation changed All obstacles made hard dock dirigibles top mooring mast Empire State Building However blimps attempt land The U S Navy dirigible Los Angeles Goodyear Blimp Columbia unsuccessful landing due intense winds sharp spires nearby buildings This project example beneficial idea nearly impossible execute,4,4,4,200,55,91,37,32,12,0.41
15960,6,Based excerpt I dont think attempted allow dirigibles dock According excerpt I think something really bad could happened something probably happend But back really choice except balloons,0,0,0,27,55,10,9,2,3,0.26
15961,6,There obstacles builders Empire State Building faced attempting allow derigibles dock In excerpt author states nature one biggest problems mast The greatest obstacle successful use mooring mast nature The author explains wind top buildings dangerous dirigible The winds top buildings constantly shifting due violent air currents The author also describes dirigible would affect wind Even dirigible tethered mooring mast back ship would swivel around around mooring mast Those obstacles builders Empire State Building faced attempting allow derigibles dock,2,2,2,78,50,26,20,15,4,0.13
15962,6,The obstacles builders Empire State Building faced attempting allow dirigibles adopt hard A dirigible dock Empire State Building probably easy A mooring mast added top building Would allow dirigibles anchor several hours refueling The obstacles Al Smith demanded builders make Empire State Building tall Also make ornamental put like pyramid top The workers exhausted The one obstacle builders expand use New York City lack suitable landing area The obstacles architects builders Empire State Building consulted experts taking tours equipment mooring operations The greatest obstacle successful use mooring mast nature,2,1,2,89,60,40,23,11,4,0.25
15963,6,This project towards transportation future Empire State Building easy task One major obstacles stress building frame The workers make sixty thousand dollars worth modifications accommodate dirigibles This would strengthen frame building wind pressure would transmitted way building foundation Another issue mooring mast violent air currents constantly shifting winds roof This would cause dirigible swing around building docked Allowing giant aircrafts dangle high pedestrians street neither practical safe These obstacles caused workers architects postpone build,3,2,3,74,60,31,18,11,1,0.18
